"taxa","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","COUNTRY.of.origin","Region"
"1190103",-36.0146915891569,24.4413897104783,42.9848899936562,-16.9128489619395,12.8572594849387,10.696895141036,-5.06639529199462,-10.3842013681906,-2.90417043598099,0.518794497726267,"Italy","Western/Southern Europe"
"1190104",-27.8699527162707,-11.5471788007807,6.08724911077359,25.1998134474445,-13.3148159824084,-21.73066569767,-9.59199234119284,-12.19304369807,9.63198037879263,4.62037427260862,"Italy","Western/Southern Europe"
"1190105",-30.0834606908102,-15.215921935104,17.496354736929,21.3820593441673,-19.68642198151,-21.3377866820078,-5.47297083851433,0.297791390592186,-0.0725787233194627,2.47420137960106,"France","Western/Southern Europe"
"1190106",-17.1308152385393,-4.04080522163386,1.15547279132892,1.16051142202925,-3.62790163925647,-2.81699822633292,10.2132263685574,5.1055005306962,1.91081231841246,6.35529417868657,"France","Western/Southern Europe"
"1190107",-33.4742712034861,6.84877951945064,11.0589691825677,29.207344804642,-28.7979037819149,-31.4218981914909,-5.09782564489113,-11.4424256020827,6.8336290703896,13.0025760080664,"France","Western/Southern Europe"
"1190108",-37.0234543052917,6.08655315072101,15.3892695823475,5.42837166365962,-24.9601131952025,-32.8375861016158,-18.1941831489427,2.31873779471434,-7.31080096541566,-2.49654006051509,"France","Western/Southern Europe"
"1190109",-36.9618654044549,6.01856424162711,15.2434086239255,5.33556319525086,-24.9333260154337,-33.001145311124,-18.3504904998883,2.13023091436115,-7.17660021178254,-2.37591090624373,"France","Western/Southern Europe"
"1190110",-24.9366273461948,-12.513197838044,18.8900762568692,51.6484332527063,-9.76690677319089,10.0650868807538,14.1752762774987,20.067385147664,-20.6256011411267,-27.0231927239071,"France","Western/Southern Europe"
"1190111",-39.872144789114,13.0461368294382,31.607883967537,-15.1035497445403,2.48512135073128,8.65882652954925,6.11499063997233,-4.51184134361871,1.84868775294347,2.66844704240618,"Morocco","North Africa"
"1190112",-12.696078952763,-0.825173938816188,1.93623180044848,-11.3043230968067,-1.04996961591822,-2.78324324112009,14.3050326338198,-4.01204265676599,8.60927939862075,11.6132968915154,"Turkey","Eurasia"
"1190113",-8.3147441987365,-48.2932492590048,-8.08270179854175,-10.7239176364666,1.00510362877275,-8.8206588051744,-4.08800329164278,6.2674153647818,9.90120696290239,1.11221373360669,"Spain","Western/Southern Europe"
"1190114",-7.32571827727205,-42.7458888138536,-5.74235596229307,-8.72879373562812,1.17900967681983,-7.39278498927496,-4.15883053480312,6.17856158318952,7.31210327688306,0.623815632706845,"Yugoslavia","Eastern Europe"
"1190115",-22.9978297130129,23.4172001429736,-19.4815573164428,2.70749987850931,-3.09496695185451,-5.90685130433566,1.68766193059283,-1.8915938709127,5.58442959494568,-5.98928735456075,"Yugoslavia","Eastern Europe"
"1190116",-16.4233238609426,17.6194077920967,-7.98579050686258,-5.43889387376533,-6.55235438555451,1.85254533223675,5.3081098340239,-3.16865686861224,7.642515412163,6.40980553876347,"Spain","Western/Southern Europe"
"1190117",-15.8651250836474,17.6323154867012,-8.0265597970776,-5.74080473419315,-6.51308250568726,1.81021194250036,5.46047223188045,-3.13794539146671,7.78107772502151,6.52893711547227,"Spain","Western/Southern Europe"
"1190118",-14.7001974367832,-9.72953272412499,-12.5809403156363,6.33701465566978,-3.85199833108938,-12.9330465660426,7.33443656422781,-1.34242976354056,0.834117438224163,4.14310964783938,"Portugal","Western/Southern Europe"
"1190119",-12.0911741591971,-10.4153903546858,-14.7300916412384,8.10139616430051,-2.93908227602375,-13.5233805262041,8.87262942047948,1.05958584874543,0.614682199416428,4.69692462388787,"India","South/Central Asia"
"1190120",-20.2193671993355,0.139698363573902,-18.8818703237829,1.94311066328484,1.0408629913382,3.00673541379925,1.24534221804427,-12.8998984722148,8.29700686109532,-1.70693192201566,"Australia","Oceania"
"1190121",-28.7294551650569,26.3074259267027,-37.0695661533695,5.27533636693423,3.99362533593683,-7.98056507732071,13.515225371119,-16.7057260023305,-2.47906366415984,-5.14066758571754,"Australia","Oceania"
"1190122",26.8663742369,-17.6655460682474,-18.5946649696534,8.60466957087143,25.3037580373925,-27.0962766372223,-12.8062745452175,-29.3143356531278,-28.6139931760968,9.66154374778213,"Australia","Oceania"
"1190123",26.6535083794356,-17.8180726014926,-18.1345796572627,8.22044466843035,24.8002545092201,-26.5607204877162,-12.5326869029496,-29.0295055501947,-28.4237079817194,9.54109471709777,"Australia","Oceania"
